Toko Online,Pengunjung Web Bulanan,Ranking AppStore,Ranking PlayStore,Twitter,Instagram,Facebook,Jumlah Karyawan
Tokopedia,"147,790,000",#2,#4,"853,000","3,828,300","6,525,650","4,944"
Shopee,"126,996,700",#1,#1,"603,800","7,757,940","21,855,970","12,192"
Bukalapak,"29,460,000",#6,#5,"215,600","1,661,140","2,518,990","2,316"
Lazada,"27,670,000",#3,#2,"430,000","2,975,370","31,364,410","4,126"
Blibli,"18,440,000",#8,#7,"529,600","1,622,480","8,598,260","1,979"
Bhinneka,"6,996,700",#21,#17,"67,100","42,280","1,036,230",487
Orami,"6,260,000",n/a,n/a,"5,820","6,040","351,770",211
Ralali,"5,123,300",#26,n/a,"2,880","41,160","91,390",176
JD ID,"3,763,300",#7,#6,"42,000","590,670","939,770","1,185"
Zalora,"3,366,700",#5,#8,n/a,"720,090","7,989,080",580
Sociolla,"2,486,700",#4,#3,"5,560","1,008,850","16,570",561
Matahari,"1,175,800",#10,n/a,"92,800","1,700,000","1,571,370",512
Jakarta Notebook,"928,600",#16,n/a,"10,300","43,790","45,510",70
Jakmall,"835,800",#17,#10,"3,690","53,000","99,780",71
Fabelio,"650,700",n/a,n/a,740,"293,060","87,560",287
Mapemall,"589,600",#14,#19,"9,360","647,000","204,660","3,500"
Elevenia,"461,200",#24,#15,"114,000","105,030","1,115,820",156
Otten Coffee,"410,100",#23,#22,"7,820","450,320","663,620",87
Jam Tangan,"408,000",#13,#11,"1,800",n/a,"362,380",n/a
iStyle,"391,100",#15,n/a,"2,590","220,000","58,610",n/a
Alfacart,"374,100",n/a,#9,"7,820","59,500",n/a,86
Sephora,"264,200",#9,#13,"3,370","467,720","19,482,930",118
Laku6,"239,700",#18,#16,n/a,"48,220","117,930",n/a
My Hartono,"231,500",#11,#12,380,"186,160","68,430",n/a
Orori,"202,900",n/a,n/a,"2,400","46,120","225,830",23
PlazaKamera,"165,000",n/a,n/a,n/a,"144,490","43,130",n/a
Hijup,"156,600",#27,#20,"54,900","1,184,540","309,210",90
Mothercare,"152,100",n/a,n/a,"26,800","662,010","154,870",20
Favo,"143,000",#29,#24,"4,430","34,790",n/a,25
Bro.do,"106,200",n/a,n/a,"21,300","871,660","1,217,610",74
Pemmz,"101,500",n/a,n/a,"1,320","29,660","30,110",17
Dinomarket,"101,500",#25,#23,"33,400","44,880","41,110",32
Berrybenka,"89,100",#12,#18,"14,800","634,220","920,160",184
Electronic City,"87,400",n/a,n/a,"44,100","39,790","210,880",578
Bobobobo,"83,800",n/a,n/a,"3,350","147,100","219,450",37
Qoo10,"44,000",#22,#21,n/a,"2,100","532,050",36
Tees,"26,300",n/a,n/a,"9,160","7,090","54,240",n/a
Hijabenka,"19,700",#20,#25,"2,410","626,670","744,730",184
Sorabel,"14,800",#19,#14,"13,400","1,001,060","4,276,500",81
