Toko Online,Pengunjung Web Bulanan,Ranking AppStore,Ranking PlayStore,Twitter,Instagram,Facebook,Jumlah Karyawan
Tokopedia,"157,443,300",#2,#4,"1,000,000","4,876,410","6,523,340","6,109"
Shopee,"138,776,700",#1,#1,"719,900","8,348,130","24,173,450","6,193"
Lazada,"28,173,300",#3,#2,"455,700","3,085,550","31,934,320","5,543"
Bukalapak,"25,760,000",#6,#7,"232,300","1,776,710","2,516,190","2,503"
Orami,"16,683,300",n/a,n/a,"5,720","11,770","350,940",215
Blibli,"15,686,700",#8,#5,"569,400","2,018,600","8,656,810","2,230"
Ralali,"5,923,300",#22,n/a,"3,950","53,770","91,000",187
Zalora,"3,310,000",#4,#8,"6,440","743,730","8,008,550",625
JD ID,"3,026,700",#7,#6,"54,000","641,740","999,050","1,330"
Sociolla,"1,913,300",#5,#3,"6,850","1,028,750","18,050",658
Bhinneka,"1,083,300",#17,#17,"66,300","42,310","1,030,860",527
Jakarta Notebook,"806,800",#15,n/a,"10,200","46,000","45,930",88
Matahari,"770,000",#9,n/a,"91,600","1,751,120","1,563,340",513
Mapemall,"763,900",n/a,n/a,"9,360","44,700","203,500",n/a
Jakmall,"736,000",#16,#13,"3,640","53,850","99,320",84
Elevenia,"446,700",#20,#15,"112,600","103,700","1,109,300",143
Otten Coffee,"444,100",#18,#19,"7,750","455,040","659,090",91
Jam Tangan,"441,900",#13,#11,"2,530","365,000",n/a,n/a
iStyle,"401,700",#14,n/a,"8,550","280,000","58,940",n/a
Fabelio,"380,600",n/a,n/a,770,"290,800","87,040",61
Sephora,"288,400",#10,#9,"3,350","470,060","19,513,870",140
Hijup,"251,300",#25,#18,"54,400","1,197,190","308,710",98
Favo,"241,700",#26,#21,"4,340","35,210",n/a,38
My Hartono,"206,400",#11,#10,380,"211,460","70,760",n/a
Alfacart,"146,700",n/a,n/a,"7,450","57,900",n/a,72
PlazaKamera,"131,600",n/a,n/a,"5,190","141,930","42,900",n/a
Mothercare,"123,000",n/a,n/a,"26,600","694,810","154,650",20
Laku6,"95,000",n/a,n/a,n/a,"48,280","117,160",n/a
Orori,"95,000",n/a,n/a,"2,370","45,460","224,660",16
Pemmz,"90,600",n/a,n/a,"1,320","31,670","29,870",28
Berrybenka,"74,900",#12,#16,"14,600","725,480","915,030",195
Dinomarket,"68,200",#23,#20,"32,800","44,230","40,840",30
Bobobobo,"67,700",n/a,n/a,"3,310","148,850","218,090",38
Bro.do,"62,800",n/a,n/a,"21,200","959,390","1,213,010",72
Electronic City,"62,000",n/a,n/a,"43,700","45,890","210,190",613
Qoo10,"1,000",#21,#12,n/a,"2,250","528,880",36
Sorabel,"1,000",#19,#14,"13,100","984,770","4,246,430",69
Hijabenka,"1,000",#24,#22,"2,380","626,960","739,950",n/a
Tees,"1,000",n/a,n/a,"9,060","7,260","53,870",n/a
